1,北海道,ホッカイドウ,Hokkaido,札幌,Sapporo,43.06417,141.34694
2,青森県,アオモリ,Aomori,青森,Aomori,40.82444,140.74
3,岩手県,イワテ,Iwate,盛岡,Morioka,39.70361,141.1525
4,宮城県,ミヤギ,Miyagi,仙台,Sendai,38.26889,140.87194
5,秋田県,アキタ,Akita,秋田,Akita,39.71861,140.1025
6,山形県,ヤマガタ,Yamagata,山形,Yamagata,38.24056,140.36333
7,福島県,フクシマ,Fukushima,福島,Fukushima,37.75,140.46778
8,茨城県,イバラキ,Ibaraki,水戸,Mito,36.34139,140.44667
9,栃木県,トチギ,Tochigi,宇都宮,Utsunomiya,36.56583,139.88361
10,群馬県,グンマ,Gunma,前橋,Maebashi,36.39111,139.06083
11,埼玉県,サイタマ,Saitama,さいたま,Saitama,35.85694,139.64889
12,千葉県,チバ,Chiba,千葉,Chiba,35.60472,140.12333
13,東京都,トウキョウ,Tokyo,新宿,Shinjuku,35.68944,139.69167
14,神奈川県,カナガワ,Kanagawa,横浜,Yokohama,35.44778,139.6425
15,新潟県,ニイガタ,Niigata,新潟,Niigata,37.90222,139.02361
16,富山県,ヤマナシ,Yamanashi,富山,Toyama,36.69528,137.21139
17,石川県,ナガノ,Nagano,金沢,Kanazawa,36.59444,136.62556
18,福井県,トヤマ,Toyama,福井,Fukui,36.06528,136.22194
19,山梨県,イシカワ,Ishikawa,甲府,Kofu,35.66389,138.56833
20,長野県,フクイ,Fukui,長野,Nagano,36.65139,138.18111
21,岐阜県,ギフ,Gifu,岐阜,Gifu,35.39111,136.72222
22,静岡県,シズオカ,Shizuoka,静岡,Shizuoka,34.97694,138.38306
23,愛知県,アイチ,Aichi,名古屋,Nagoya,35.18028,136.90667
24,三重県,ミエ,Mie,津,Tsu,34.73028,136.50861
25,滋賀県,シガ,Shiga,大津,Otsu,35.00444,135.86833
26,京都府,キョウト,Kyoto,京都,Kyoto,35.02139,135.75556
27,大阪府,オオサカ,Osaka,大阪,Osaka,34.68639,135.52
28,兵庫県,ヒョウゴ,Hyogo,神戸,Kobe,34.69139,135.18306
29,奈良県,ナラ,Nara,奈良,Nara,34.68528,135.83278
30,和歌山県,ワカヤマ,Wakayama,和歌山,Wakayama,34.22611,135.1675
31,鳥取県,トットリ,Tottori,鳥取,Tottori,35.50361,134.23833
32,島根県,シマネ,Shimane,松江,Matsue,35.47222,133.05056
33,岡山県,オカヤマ,Oakayama,岡山,Okayama,34.66167,133.935
34,広島県,ヒロシマ,Hiroshima,広島,Hiroshima,34.39639,132.45944
35,山口県,ヤマグチ,Yamaguchi,山口,Yamaguchi,34.18583,131.47139
36,徳島県,トクシマ,Tokushima,徳島,Tokushima,34.06583,134.55944
37,香川県,カガワ,Kagawa,高松,Takamatsu,34.34028,134.04333
38,愛媛県,エヒメ,Ehime,松山,Matsuyama,33.84167,132.76611
39,高知県,コウチ,Kochi,高知,Kochi,33.55972,133.53111
40,福岡県,フクオカ,Fukuoka,福岡,Fukuoka,33.60639,130.41806
41,佐賀県,サガ,Saga,佐賀,Saga,33.24944,130.29889
42,長崎県,ナガサキ,Nagasaki,長崎,Nagasaki,32.74472,129.87361
43,熊本県,クマモト,Kumamoto,熊本,Kumamoto,32.78972,130.74167
44,大分県,オオイタ,Oita,大分,Oita,33.23806,131.6125
45,宮崎県,ミヤザキ,Miyazaki,宮崎,Miyazaki,31.91111,131.42389
46,鹿児島県,カゴシマ,Kagoshima,鹿児島,Kagoshima,31.56028,130.55806
47,沖縄県,オキナワ,Okinawa,那覇,Naha,26.2125,127.68111