島根県,松江市,"島根県, 松江市",35.46806,133.048375
島根県,浜田市,"島根県, 浜田市",34.899303,132.079783
島根県,出雲市,"島根県, 出雲市",35.367035,132.754682
島根県,益田市,"島根県, 益田市",34.674817,131.842862
島根県,大田市,"島根県, 大田市",35.192106,132.499293
島根県,安来市,"島根県, 安来市",35.431442,133.250915
島根県,江津市,"島根県, 江津市",35.011418,132.22093
島根県,雲南市,"島根県, 雲南市",35.307726,132.900299
島根県,"仁多郡, 奥出雲町","島根県, 仁多郡, 奥出雲町",35.19743,133.002543
島根県,"飯石郡, 飯南町","島根県, 飯石郡, 飯南町",35.000035,132.713874
島根県,"邑智郡, 川本町","島根県, 邑智郡, 川本町",34.994145,132.495496
島根県,"邑智郡, 美郷町","島根県, 邑智郡, 美郷町",35.07669,132.590559
島根県,"邑智郡, 邑南町","島根県, 邑智郡, 邑南町",34.893963,132.43797
島根県,"鹿足郡, 津和野町","島根県, 鹿足郡, 津和野町",34.467185,131.773166
島根県,"鹿足郡, 吉賀町","島根県, 鹿足郡, 吉賀町",34.442094,131.867897
島根県,"隠岐郡, 海士町","島根県, 隠岐郡, 海士町",36.096571,133.096709
島根県,"隠岐郡, 西ノ島町","島根県, 隠岐郡, 西ノ島町",36.093027,132.994422
島根県,"隠岐郡, 知夫村","島根県, 隠岐郡, 知夫村",36.013929,133.039386
島根県,"隠岐郡, 隠岐の島町","島根県, 隠岐郡, 隠岐の島町",36.209014,133.32177